Tecnica AV
Grupo: [254, 314, 324]
Recomendacao Standard
1,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil
2,77,Praia do Porto da Barra,beach,Praia do Porto da Barra - Av. Sete de Setembro  s/n - Barra  Salvador - BA  40140-030  Brazil
3,88,Praia da Penha,beach,Salvador - BA
4,90,Praia da Paciencia,beach,Praia da Paciencia - Rio Vermelho  Salvador - State of Bahia  40170-010  Brazil
5,99,Praia da Pituba,beach,Bahia
6,103,Praia da Boca do Rio,beach,Bahia
7,100,Praia da Pedra do Sal,beach,R. Alves Ribeiro  151 - Itapuã  Salvador - BA  41301-110
8,93,Praia da Boa Viagem,beach,Salvador - BA  40301-155
9,89,Praia da 3a Ponte,beach,Praia da 3a Ponte  Salvador - State of Bahia  Brazil
10,81,Praia Itapua,beach,Praia Itapua - Av. Octavio Mangabeira - Piata  Salvador - BA  Brazil

Recomendacao Diversificada
1,87,Praia do Farol,beach,Praia do Farol - Itapua  Salvador - State of Bahia  41600-090  Brazil
2,263,Restaurante Itapua,restaurant,R. Flor do Bosque  126 - Itapua  Salvador - BA  41610-190  Brazil
3,355,Estadio Manoel Barradas - Barradao,stadium,R. Artemio Castro Valente  1 - Canabrava  Salvador - BA  Brazil
4,140,CAFETERIA FLORIDA,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil
5,420,MIni Zoo (animais domesticos),zoo,Stella Maris  Salvador - State of Bahia  41600-090  Brazil
6,208,House of the Seven Lamps,museum,R. de Sao Francisco  3 - Centro  Salvador - BA  40020-320  Brazil
7,77,Praia do Porto da Barra,beach,Praia do Porto da Barra - Av. Sete de Setembro  s/n - Barra  Salvador - BA  40140-030  Brazil
8,343,Shopping salvador,shopping_mall,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-908  Brazil
9,164,Cinema e Video,movie_theater,Patamares  Salvador - State of Bahia  41741-590  Brazil
10,2,Acervo Galeria de Arte,art_gallery,Alameda dos Umbuzeiros  25 - Loja 03 - Caminho das arvores  Salvador - BA  41820-680  Brazil
